Latitude,Longitude
39.54,116.23
40.06,116.11
40.00,116.18
39.36,118.10
39.29,118.13
40.00,115.00
39.63,118.18
39.94,119.60
45.27,127.59
45.00,128.50
45.45,126.38
46.79,130.38
44.55,129.63
47.73,128.84
43.80,126.77
44.09,125.49
43.46,125.27
43.43,126.41
43.77,125.50
43.73,126.66
43.69,127.32
42.66,125.49
43.77,125.48
43.53,128.28
41.46,123.25
41.46,123.26
41.82,123.57
41.26,124.36
41.13,124.29
41.81,123.43
40.00,124.34
38.95,121.58
40.78,119.83
40.88,124.28
37.44,118.68
37.38,117.97
39.14,117.47
38.56,117.31
38.98,117.40
38.94,117.54
37.57,126.99
37.16,127.10
36.10,127.14
37.56,127.34
37.60,127.34
35.29,127.63
35.94,127.70
38.04,128.10
36.44,128.17
37.27,129.10
49.42,136.56
48.25,135.05
48.39,135.11
48.13,135.07
48.28,135.06
48.28,135.06
43.39,132.37
45.19,136.15
43.36,134.11
43.17,133.76
44.22,133.84
42.89,131.16
44.41,132.89
43.62,132.23
43.10,133.91
43.17,131.98
44.41,131.38
43.16,131.91
43.31,132.06
42.43,130.69
43.23,132.01
43.28,132.08
43.30,131.60
45.90,137.50
45.93,133.74
42.51,131.12
43.06,131.58
43.11,132.15
43.13,131.32
43.14,132.00
43.17,131.36
43.30,132.10
43.36,132.16
43.46,132.28
43.69,132.13
43.81,131.97
43.90,131.93
44.27,141.72
42.79,141.38
42.83,142.96
43.06,141.35
34.58,132.86
35.83,139.05
35.83,139.05
35.83,139.05
35.59,138.88
35.43,135.41
35.83,139.05
35.67,136.29
36.64,138.13
35.83,139.05
35.59,138.88
36.34,138.65
38.00,140.57
35.27,135.49
32.64,130.97
33.48,130.93
33.93,134.30
