Latitude,Longitude,1_year average
48,230.25,642.09567664063
48,231,662.26764101563
48,231.75,672.349306906255
48,232.5,678.567943187505
48,233.25,698.993308343755
48,234,654.72265976563
48,234.75,547.38747598438
48,235.5,605.757140718755
48,236.25,674.395333625005
48,237,834.770968234381
48,237.75,633.65936251563
48,238.5,329.12504673438
48,239.25,65.3841302812552
48,240,328.89766760938
48,240.75,746.883166968755
48,241.5,873.602033343756
48,242.25,847.599243281255
48,243,742.682543656255
48,243.75,487.085327375005
48,244.5,329.84617979688
48,245.25,162.696666750005
48,246,0
48,246.75,0
48,247.5,121.434066343755
48,248.25,574.24188904688
48,249,838.796907046881
48,249.75,816.932919859381
48,250.5,644.839098406255
48,251.25,678.722798468755
48,252,805.68453389063
48,252.75,911.609579593756
48,253.5,898.423409328131
48,254.25,809.98785145313
48,255,774.300208468756
48,255.75,728.054694328131
48,256.5,657.249267437505
48,257.25,578.073999375005
48,258,570.79453367188
48,258.75,575.053408218755
48,259.5,567.26448439063
48,260.25,539.02898932813
48,261,537.61685535938
48,261.75,582.08287589063
48,262.5,634.40057692188
48,263.25,672.97036792188
48,264,677.985221109381
48,264.75,586.090665218755
48,265.5,516.91858701563
48,266.25,455.24084995313
48,267,391.02987979688
48,267.75,322.52521889063
48,268.5,320.660548906255
48,269.25,246.04709923438
48,270,122.749305750005
48,270.75,0
48,271.5,0
48,272.25,0
48,273,0
48,273.75,0
48,274.5,0
48,275.25,91.2028370312551
48,276,94.0095163593801
48,276.75,74.9933263437552
48,277.5,88.8046011406301
48,278.25,118.12600407813
48,279,149.07760879688
48,279.75,181.75565560938
48,280.5,202.628919437505
48,281.25,182.25702267188
48,282,144.83990970313
48,282.75,93.6816430781303
48,283.5,41.3124074218803
48,284.25,1.27298665625513
47.25,230.25,692.44328285938
47.25,231,714.575709468755
47.25,231.75,734.099599875005
47.25,232.5,752.416131343755
47.25,233.25,780.003135031255
47.25,234,744.755862406255
47.25,234.75,675.786677250005
47.25,235.5,640.218735343755
47.25,236.25,811.344268828131
47.25,237,899.561338218756
47.25,237.75,670.054624000005
47.25,238.5,434.056243531255
47.25,239.25,463.69325507813
47.25,240,1067.20264989063
47.25,240.75,1475.90060482813
47.25,241.5,1417.74602184376
47.25,242.25,1177.14267181251
47.25,243,927.756123312506
47.25,243.75,638.257183406255
47.25,244.5,377.72436573438
47.25,245.25,197.17072798438
47.25,246,45.6139495156302
47.25,246.75,0
47.25,247.5,36.6081909062551
47.25,248.25,290.17177498438
47.25,249,415.74425957813
47.25,249.75,403.628363156255
47.25,250.5,504.55078473438
47.25,251.25,765.62961726563
47.25,252,970.710071796882
47.25,252.75,1077.26259003126
47.25,253.5,1069.65093198438
47.25,254.25,959.083905953132
47.25,255,900.231544734382
47.25,255.75,850.239966531256
